#OTU ID	TestBx10_S39	TestBx11_S40	TestBx12_S41	TestBx13_S42	TestBx15_S43	TestBx16_S44	TestBx17_S45	TestBx18_S46	TestBx19_S47	TestBx20_S49	TestBx21_S50	TestBx22_S51	TestBx24_S52	TestBx25_S53	TestBx26_S54	TestBx27_S55	TestBx29_S56	TestBx2_S48	TestBx32_S58	TestBx33_S59	TestBx3_S57	TestBx4_S60	TestBx9_S61	TestFA10_S62	TestFA11_S63	TestFA12_S64	TestFA13_S65	TestFA15_S66	TestFA16_S67	TestFA17_S68	TestFA18_S69	TestFA19_S70	TestFA20_S72	TestFA21_S73	TestFA22_S74	TestFA24_S75	TestFA25_S76	TestFA26_S77	TestFA27_S78	TestFA29_S79	TestFA2_S71	TestFA32_S81	TestFA33_S82	TestFA3_S80	TestFA4_S83	TestFA9_S84
Genetic Information Processing;Replication and Repair;DNA replication	0.006197338	0.006804686	0.006638751	0.006596364	0.005621721	0.0069749	0.006746929	0.006660677	0.006406309	0.006270365	0.006152261	0.006542691	0.006996275	0.006744283	0.006039287	0.006476891	0.006540476	0.006038609	0.006783845	0.006625698	0.006380173	0.006258954	0.006179998	0.006229654	0.006679102	0.007042543	0.006532677	0.006167222	0.006375408	0.0066729	0.006361869	0.006526365	0.006460815	0.006605069	0.006799471	0.006984048	0.006643397	0.00621021	0.006450151	0.006508118	0.00741462	0.006844949	0.006791655	0.006056191	0.006653356	0.006527027
Genetic Information Processing;Replication and Repair;DNA replication proteins	0.011798747	0.01292109	0.01224888	0.012658781	0.011064927	0.013069412	0.012952988	0.01250576	0.012069554	0.011972651	0.011822231	0.012590806	0.013271425	0.011314075	0.011673176	0.012292863	0.012508693	0.011417469	0.01296923	0.012770001	0.012201207	0.012031274	0.011702816	0.012053061	0.012721921	0.013006971	0.012585307	0.012037385	0.012136231	0.012869218	0.012032389	0.012226072	0.012382979	0.01261004	0.013071178	0.012939733	0.012549772	0.011690269	0.012259062	0.012443347	0.013527059	0.012993959	0.012978287	0.01161278	0.012682053	0.012257569
Genetic Information Processing;Replication and Repair;Homologous recombination	0.008476851	0.00907952	0.008617265	0.008743431	0.008226029	0.008700582	0.009191676	0.008788783	0.008464206	0.008611016	0.008685633	0.008509913	0.009269986	0.009035123	0.008063393	0.009016564	0.009135543	0.008281941	0.009317904	0.009163987	0.008540255	0.008193772	0.008354328	0.008802267	0.009147027	0.009164239	0.00888634	0.008737502	0.008592931	0.009198908	0.008537891	0.008674504	0.008663147	0.009336538	0.008873329	0.008978846	0.009015054	0.008190025	0.008951389	0.009108606	0.010278392	0.009394386	0.0089428	0.008309871	0.008724731	0.008438813
Genetic Information Processing;Replication and Repair;Mismatch repair	0.00805903	0.008547086	0.008396482	0.008405026	0.00785047	0.008765664	0.008388723	0.008358361	0.00829883	0.00810922	0.007908061	0.008282933	0.008747729	0.007053181	0.007643387	0.008002426	0.008055631	0.007630514	0.008187714	0.008078677	0.007955781	0.00791487	0.007572593	0.007849092	0.008262569	0.00896272	0.008084547	0.007992477	0.007798379	0.008241625	0.007880274	0.008211935	0.007889163	0.008289839	0.008364526	0.008794276	0.008005351	0.007686199	0.007981589	0.008023667	0.009008966	0.008324075	0.008340296	0.00753525	0.008242913	0.008193762
Genetic Information Processing;Replication and Repair;Non-homologous end-joining	5.3804E-05	5.00357E-05	4.97203E-05	7.32871E-05	4.58217E-05	7.67502E-05	5.18916E-05	0.000158155	6.89689E-05	3.68739E-05	4.29481E-05	6.55377E-05	2.98997E-05	2.38686E-05	8.25906E-05	0.000111027	7.62725E-05	0.000416572	9.16485E-05	0.000129678	0.000116287	3.54189E-05	0.000301751	7.36108E-05	3.22184E-05	4.19827E-05	0.000117707	0.000181408	0.000106255	6.52181E-05	0.000201077	8.07107E-05	3.66878E-05	3.32575E-05	6.38611E-05	7.60328E-06	0.000157304	0.000102878	0.000129043	0.000116059	1.81779E-05	8.96643E-05	0.000117125	0.000177164	1.06029E-05	0.000323382
Genetic Information Processing;Replication and Repair;Nucleotide excision repair	0.003845051	0.003929121	0.004100123	0.004113191	0.003772968	0.004096439	0.004108298	0.003943694	0.003881149	0.003742269	0.003798466	0.003973714	0.004051254	0.003978834	0.003476506	0.00387008	0.003835847	0.004043811	0.003803876	0.004050093	0.003814698	0.003612101	0.003810234	0.003807059	0.003873479	0.004317929	0.00401533	0.003889516	0.003724557	0.004030449	0.003837222	0.003974557	0.003599518	0.003979224	0.003947051	0.004003506	0.004051905	0.003484795	0.003904417	0.003865809	0.00365862	0.003874072	0.004215823	0.003694276	0.003716791	0.004282402
Genetic Information Processing;Transcription;Basal transcription factors	1.16291E-05	1.45488E-05	1.27607E-05	1.80139E-05	9.39551E-06	3.02362E-06	3.13939E-05	1.29282E-06	1.67924E-05	5.25012E-06	3.45034E-05	1.51192E-05	4.67269E-06	0.000336277	1.12504E-05	2.12484E-05	2.34223E-05	1.6545E-05	1.29237E-05	4.59945E-05	2.75064E-06	1.03929E-06	3.54392E-05	3.75107E-05	3.26885E-05	7.72218E-07	5.34261E-05	1.87562E-05	1.88593E-05	2.44798E-05	7.83181E-07	3.91015E-05	1.62815E-05	4.88526E-05	1.12207E-05	2.52306E-06	4.33779E-05	7.67912E-06	2.59238E-05	3.27005E-05	2.95781E-07	2.15798E-05	3.57736E-05	4.26266E-06	3.08959E-06	1.35883E-05
Genetic Information Processing;Transcription;RNA polymerase	0.001350063	0.001507979	0.001457707	0.001453787	0.001141965	0.001485524	0.001534307	0.001516043	0.001429455	0.001319872	0.001460866	0.001327476	0.001479464	0.001365117	0.001315117	0.001435626	0.001491647	0.001482819	0.001443738	0.001490726	0.001412814	0.001377885	0.001441195	0.001503428	0.001523327	0.001448107	0.001513076	0.001337889	0.00143225	0.001514392	0.001470777	0.001428094	0.001424087	0.001524793	0.001367924	0.001528236	0.001444268	0.001366193	0.00147513	0.001541416	0.001822858	0.00154661	0.001477847	0.001390541	0.001439871	0.001507359
Genetic Information Processing;Transcription;Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genetic Information Processing;Transcription;Transcription factors	0.01825942	0.019109892	0.019164745	0.0183445	0.019055211	0.020134756	0.017175372	0.018170021	0.0196679	0.018594159	0.019514984	0.018264402	0.016460483	0.010073864	0.018881254	0.017980997	0.015298946	0.015288582	0.013782409	0.015390512	0.017638274	0.018726811	0.015200314	0.018610258	0.018266824	0.020912058	0.017630067	0.016839949	0.018400677	0.016193627	0.017341663	0.018135541	0.018407733	0.018336269	0.016659801	0.020310025	0.014481852	0.0189293	0.019116341	0.016321257	0.020969695	0.016394802	0.017256762	0.017361674	0.018247067	0.017187034
Genetic Information Processing;Transcription;Transcription machinery	0.009662194	0.01027537	0.010202397	0.010330853	0.009651351	0.009764384	0.010501192	0.010509263	0.009970876	0.010529114	0.009970641	0.010959794	0.011081711	0.008529172	0.010243013	0.009741554	0.010728858	0.011235036	0.011825271	0.011152862	0.010171889	0.010417055	0.010203074	0.010471576	0.010085774	0.009978462	0.010573463	0.011042302	0.009636673	0.010621658	0.010704078	0.010573136	0.011146402	0.010498508	0.011763316	0.009904445	0.011525157	0.010511298	0.009667719	0.010878858	0.010137211	0.011082516	0.011264178	0.010095429	0.010358701	0.01160172
Genetic Information Processing;Translation;Aminoacyl-tRNA biosynthesis	0.01125926	0.011067695	0.01073851	0.011129441	0.011605728	0.010391845	0.011205001	0.010812127	0.010224711	0.010941085	0.011537601	0.010543056	0.010956856	0.012082374	0.009522846	0.011246842	0.011269801	0.011070402	0.010581893	0.011057035	0.010523971	0.01004657	0.01063736	0.0112656	0.011190797	0.012017354	0.011214636	0.011558799	0.010336929	0.011196235	0.010674445	0.01037814	0.01028807	0.012076046	0.01055736	0.011396836	0.011288097	0.009605071	0.011301465	0.011327559	0.012733808	0.011136895	0.011168816	0.01030993	0.010532508	0.011116472
Genetic Information Processing;Translation;RNA transport	0.001581353	0.001520067	0.001523808	0.001573595	0.001686718	0.001532479	0.001337098	0.001493893	0.001466938	0.00157278	0.001626829	0.001489494	0.001455044	0.00031663	0.001331813	0.001415813	0.001364154	0.001250532	0.001191937	0.001230109	0.001432177	0.001580089	0.001231254	0.001535607	0.001449135	0.001703826	0.001414595	0.001474613	0.001298694	0.001308833	0.001404917	0.001339069	0.001381668	0.001584417	0.001390577	0.001748288	0.001275954	0.001280561	0.001459369	0.001389307	0.001888555	0.001358413	0.001408546	0.00131253	0.001584098	0.001479299
Genetic Information Processing;Translation;Ribosome	0.021308213	0.022162632	0.021655818	0.022276288	0.020458983	0.021513235	0.023435102	0.021697729	0.020959792	0.020824557	0.022200422	0.021216483	0.023078993	0.023999501	0.019784785	0.022482439	0.023343681	0.021437113	0.023407694	0.023500664	0.021364337	0.020090188	0.021318241	0.022261573	0.02263686	0.022623828	0.022780311	0.022013505	0.021477018	0.0234842	0.021291681	0.021823865	0.020992204	0.023852302	0.022005346	0.022159406	0.023044161	0.020205268	0.022348101	0.023173698	0.024032442	0.023342625	0.022947277	0.020820947	0.021424444	0.02167998
Genetic Information Processing;Translation;Ribosome Biogenesis	0.013503731	0.013085055	0.012707966	0.013215224	0.013591014	0.012609894	0.013499144	0.012946395	0.012468449	0.013216437	0.013640231	0.01259843	0.013232597	0.012353784	0.012371299	0.013336775	0.013524859	0.012771511	0.012982914	0.013496147	0.012666752	0.012029777	0.012794592	0.013409578	0.013375365	0.013536643	0.013505253	0.013703264	0.012500704	0.013461003	0.012650829	0.012742805	0.012560524	0.01428758	0.012656169	0.01376283	0.013250171	0.012885234	0.013313369	0.013591213	0.014737084	0.013350026	0.013366928	0.012507541	0.012584152	0.012954941
Genetic Information Processing;Translation;Ribosome biogenesis in eukaryotes	0.000452399	0.000443803	0.000490707	0.000448491	0.000433722	0.000429942	0.000467851	0.000434817	0.000438177	0.000427926	0.000447158	0.00043096	0.000465907	0.000455207	0.000409379	0.000454829	0.000458064	0.000429195	0.000453428	0.000466876	0.000435216	0.000400707	0.000456254	0.000444546	0.000451749	0.000498815	0.000451527	0.000444718	0.000423915	0.000465513	0.000429402	0.000458972	0.000411053	0.000483026	0.000432856	0.000451321	0.000473209	0.000420936	0.000448853	0.000456528	0.000495096	0.000463005	0.000459928	0.000426908	0.000429137	0.000436121
Genetic Information Processing;Translation;Translation factors	0.004881852	0.005193484	0.004985237	0.00522588	0.004578521	0.005039619	0.005459745	0.005164156	0.004792962	0.004881545	0.005019509	0.004956012	0.005461378	0.005094151	0.004706634	0.005176324	0.005496426	0.00514058	0.005583292	0.005569114	0.005092803	0.004812975	0.005049984	0.005137409	0.005327145	0.005168821	0.005391963	0.00507765	0.005069026	0.00549334	0.005098416	0.005058806	0.005019113	0.005396785	0.005163256	0.005265309	0.005371638	0.004847757	0.005149647	0.005453524	0.005692134	0.005534928	0.005428127	0.004998694	0.005145479	0.005196167
Genetic Information Processing;Translation;mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03623E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cancers;Bladder cancer	1.11123E-05	2.97883E-06	5.14063E-06	1.05095E-06	1.1558E-06	1.36503E-06	3.05668E-07	2.75801E-06	2.24899E-06	3.28132E-06	1.95362E-06	1.92193E-06	1.66882E-07	5.03447E-07	2.90015E-05	4.6542E-06	1.80171E-06	1.51314E-06	2.36512E-06	6.32925E-06	1.22693E-05	1.746E-06	4.77704E-05	1.19537E-07	1.69777E-07	3.05829E-08	5.9478E-08	5.16497E-07	1.69164E-06	2.29641E-07	1.45708E-06	2.2603E-06	8.03184E-07	1.69249E-07	5.30114E-08	2.27303E-08	1.18738E-06	3.48193E-05	1.96194E-07	6.90025E-07	1.18313E-07	2.40157E-07	2.11655E-06	1.41851E-05	2.26453E-06	1.49322E-07
Human Diseases;Cancers;Chronic myeloid leukemia	2.0674E-07	0	0	0	3.72838E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cancers;Colorectal cancer	1.74695E-05	1.59734E-06	1.34714E-05	6.23999E-07	1.26765E-06	5.13723E-07	1.07883E-05	1.12044E-06	7.49662E-07	4.18369E-06	1.06504E-05	1.85786E-06	5.56273E-08	2.83996E-07	3.35832E-07	1.21792E-06	1.32126E-05	2.11442E-05	1.94278E-06	3.15031E-07	4.23453E-06	9.97715E-07	4.404E-05	1.79305E-07	1.30597E-08	0	7.43475E-08	0	3.34978E-08	8.84884E-06	0	0	0	6.9755E-06	0	0	1.54205E-07	1.81539E-08	1.30796E-08	1.08384E-05	3.97192E-07	1.71541E-08	2.597E-08	2.09569E-06	1.75545E-08	7.96386E-07
Human Diseases;Cancers;Glioma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cancers;Pancreatic cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cancers;Pathways in cancer	0.000489663	0.000520173	0.000536493	0.000531762	0.000478127	0.000511785	0.000577154	0.000560695	0.000525963	0.000489492	0.0005098	0.000520778	0.000619772	0.000509514	0.000555202	0.000507243	0.000620304	0.000673647	0.000695177	0.000642147	0.000567862	0.000522345	0.000639771	0.000478183	0.000537029	0.00046489	0.000564312	0.000581177	0.000546618	0.000590898	0.000582213	0.000568737	0.000505176	0.000533692	0.000548173	0.000492724	0.000615062	0.000542603	0.000493271	0.00059667	0.000484608	0.000604029	0.000573365	0.000590842	0.000518103	0.000584808
Human Diseases;Cancers;Prostate cancer	0.000447643	0.000494184	0.000506311	0.000511647	0.000437301	0.00048127	0.000571616	0.000493985	0.000482107	0.000513527	0.000459163	0.000536218	0.000613764	0.000528245	0.000525913	0.000505938	0.000617559	0.00050079	0.000778885	0.00063198	0.000543432	0.000499606	0.000498532	0.000466792	0.000521645	0.000460724	0.000537205	0.00048561	0.000537556	0.000591801	0.000502747	0.000569595	0.000544559	0.000508873	0.000604507	0.000481064	0.000611654	0.000571069	0.000481591	0.000582567	0.000472777	0.000644873	0.000581039	0.000527401	0.000505025	0.000484327
Human Diseases;Cancers;Renal cell carcinoma	3.50424E-05	3.26376E-05	4.19184E-05	3.28257E-05	3.99309E-05	4.28738E-05	4.85472E-05	7.72242E-05	6.13223E-05	1.86625E-05	4.75171E-05	3.56838E-05	2.18615E-05	1.61232E-05	7.52743E-05	3.99305E-05	6.2202E-05	0.000175047	2.03569E-05	6.89345E-05	6.76077E-05	7.07546E-05	0.000136265	2.98603E-05	2.39777E-05	4.25102E-06	5.11808E-05	9.6216E-05	4.33294E-05	5.32921E-05	9.85169E-05	4.11968E-05	2.87921E-05	3.44785E-05	2.79017E-05	1.20357E-05	7.88142E-05	5.14483E-05	3.58381E-05	6.71513E-05	1.18651E-05	4.07409E-05	4.96156E-05	0.000105626	4.17796E-05	0.000118114
Human Diseases;Cancers;Small cell lung cancer	1.74695E-05	1.59734E-06	1.34714E-05	6.23999E-07	1.26765E-06	5.13723E-07	1.07883E-05	1.12044E-06	7.49662E-07	4.18369E-06	1.06504E-05	1.85786E-06	5.56273E-08	2.83996E-07	3.35832E-07	1.21792E-06	1.32126E-05	2.11442E-05	1.94278E-06	3.15031E-07	4.23453E-06	9.97715E-07	4.404E-05	1.79305E-07	1.30597E-08	0	7.43475E-08	0	3.34978E-08	8.84884E-06	0	0	0	6.98758E-06	0	0	1.54205E-07	1.81539E-08	1.30796E-08	1.08384E-05	3.97192E-07	1.71541E-08	2.597E-08	2.09569E-06	1.75545E-08	7.96386E-07
Human Diseases;Cardiovascular Diseases;Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cardiovascular Diseases;Dilated cardiomyopathy (DCM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cardiovascular Diseases;Hypertrophic cardiomyopathy (HCM)	3.87637E-06	4.31715E-08	3.14058E-07	1.6421E-08	0	0	0	8.61878E-08	0	4.10166E-08	0	0	0	1.29089E-08	2.3988E-08	6.52459E-08	0	0	8.44686E-08	0	3.25733E-07	8.31429E-08	6.21741E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Cardiovascular Diseases;Viral myocarditis	1.74695E-05	1.59734E-06	1.34714E-05	6.23999E-07	1.26765E-06	5.13723E-07	1.07883E-05	1.12044E-06	7.49662E-07	4.18369E-06	1.06504E-05	1.85786E-06	5.56273E-08	2.83996E-07	3.35832E-07	1.21792E-06	1.32126E-05	2.11442E-05	1.94278E-06	3.15031E-07	4.23453E-06	9.97715E-07	4.404E-05	1.79305E-07	1.30597E-08	0	7.43475E-08	0	3.34978E-08	8.84884E-06	0	0	0	6.9755E-06	0	0	1.54205E-07	1.81539E-08	1.30796E-08	1.08384E-05	3.97192E-07	1.71541E-08	2.597E-08	2.09569E-06	1.75545E-08	7.96386E-07
Human Diseases;Immune System Diseases;Primary immunodeficiency	0.000542072	0.000577116	0.000624793	0.000598284	0.000409786	0.000726785	0.000552863	0.000536002	0.000518391	0.000529237	0.000506555	0.000622769	0.000604585	0.000149459	0.000530374	0.000531123	0.000477368	0.00033311	0.000571768	0.000469081	0.000572277	0.000560757	0.000427343	0.000484172	0.000546393	0.000678833	0.000510098	0.000366137	0.000598087	0.000544632	0.000495371	0.000537488	0.000559656	0.000527067	0.000622619	0.000627424	0.000499377	0.000605489	0.000504114	0.000452943	0.0004876	0.000544864	0.000572898	0.000497135	0.000602926	0.000475193
Human Diseases;Immune System Diseases;Rheumatoid arthritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Immune System Diseases;Systemic lupus erythematosus	2.0674E-07	4.31715E-08	7.73574E-06	3.08716E-06	5.03331E-06	1.46778E-07	1.49238E-06	4.64983E-05	4.8728E-06	1.64066E-07	6.302E-08	1.92193E-07	2.78137E-08	1.72979E-06	0	4.34972E-08	9.18016E-06	0.000119538	6.75749E-07	2.76081E-05	1.7662E-05	1.66286E-07	5.39878E-05	1.19537E-06	0	0	1.74865E-05	5.15759E-05	4.85719E-07	3.49055E-06	5.95582E-05	1.42547E-05	0	7.25355E-08	0	1.13651E-08	3.53438E-05	3.63079E-08	0	2.39994E-05	5.44238E-06	5.86669E-06	2.70997E-05	4.26266E-05	1.75545E-08	0.000100668
Human Diseases;Infectious Diseases;African trypanosomiasis	1.15257E-05	3.15152E-06	1.08598E-05	4.90989E-06	6.78565E-06	1.51181E-06	2.93081E-06	5.0032E-05	8.32125E-06	3.40437E-06	2.2057E-06	3.71573E-06	2.58667E-06	2.20742E-06	3.01289E-05	5.4589E-06	1.25262E-05	0.000121669	4.39237E-06	3.63717E-05	2.98227E-05	3.15943E-06	8.74582E-05	5.45088E-06	1.35821E-06	1.44122E-05	1.80813E-05	5.33467E-05	3.81875E-06	5.29706E-06	6.32009E-05	1.85938E-05	2.06922E-06	4.73898E-06	5.53086E-06	1.05696E-06	3.98003E-05	3.63805E-05	1.68727E-06	2.69278E-05	1.68173E-05	7.06747E-06	3.34493E-05	5.69971E-05	3.40557E-06	0.000101788
Human Diseases;Infectious Diseases;Amoebiasis	9.91318E-05	9.60997E-05	5.4927E-05	7.35663E-05	6.99071E-05	6.04138E-05	8.60724E-05	0.000120663	4.8728E-05	0.000119768	0.000128214	0.000132293	0.000101409	0.000402951	0.000154027	0.000128687	0.000144909	0.000188247	0.000183635	0.000112724	0.000110785	0.0001344	0.000137612	0.000193686	8.4823E-05	1.72182E-05	9.799E-05	0.000158299	0.000123038	0.00010813	0.000169513	8.3103E-05	0.000202253	0.000110169	0.000184268	1.85138E-05	0.000194499	0.000191742	0.000119848	0.000144804	2.23864E-05	0.000122171	9.31673E-05	0.000146485	0.00010408	0.000152757
Human Diseases;Infectious Diseases;Bacterial invasion of epithelial cells	4.6103E-05	8.41844E-06	3.09099E-06	1.98695E-06	3.9148E-06	3.28782E-06	5.93355E-07	5.86077E-06	6.89689E-06	7.87518E-06	6.20747E-06	4.74076E-06	2.78137E-07	2.06542E-07	5.75232E-05	1.19835E-05	7.12106E-06	5.0969E-06	1.77384E-06	1.18853E-05	1.37894E-05	2.28643E-06	3.15015E-05	2.50908E-05	7.96644E-07	1.0704E-06	1.63564E-07	2.65627E-06	3.41678E-06	2.14332E-07	3.67913E-06	4.52059E-06	2.13729E-06	1.55951E-06	4.41762E-07	2.38668E-07	1.58831E-06	6.95659E-05	5.21876E-06	1.20502E-05	1.95216E-06	1.13217E-06	4.22012E-06	2.1071E-05	5.19612E-06	1.51811E-06
Human Diseases;Infectious Diseases;Chagas disease (American trypanosomiasis)	1.17842E-05	1.94272E-06	9.88455E-06	4.00673E-06	6.33824E-06	1.36503E-06	2.17563E-06	4.96011E-05	7.19675E-06	2.25591E-06	1.32342E-06	1.28129E-06	1.94696E-07	2.0267E-06	2.92174E-05	4.52371E-06	1.08961E-05	0.000121071	2.9564E-06	3.3966E-05	2.92798E-05	1.66286E-06	7.60596E-05	1.41054E-06	9.7948E-07	1.34947E-05	1.77691E-05	5.20924E-05	3.55077E-06	3.93452E-06	6.27637E-05	1.79504E-05	1.47024E-06	3.25201E-06	8.83523E-07	3.40954E-08	3.92914E-05	3.52731E-05	9.6789E-07	2.53795E-05	1.63356E-05	6.46708E-06	2.97746E-05	5.68688E-05	2.58051E-06	0.000100768
Human Diseases;Infectious Diseases;Epithelial cell signaling in Helicobacter pylori infection	0.000887844	0.000867833	0.000845427	0.000920366	0.000931125	0.000845353	0.000863637	0.000838607	0.000801613	0.00086225	0.000999087	0.000857116	0.00089674	0.000887745	0.000784215	0.000849001	0.000908578	0.000801865	0.00089731	0.000900157	0.000847992	0.000825734	0.000818832	0.000909138	0.000876491	0.000926409	0.000919902	0.000952405	0.000789125	0.000864569	0.000796003	0.000836705	0.000812428	0.001069137	0.000870111	0.000902381	0.000869809	0.000799827	0.000839305	0.000902318	0.000970788	0.000888374	0.000913598	0.000792471	0.000879953	0.000894167
Human Diseases;Infectious Diseases;Hepatitis C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Infectious Diseases;Influenza A	1.74695E-05	1.59734E-06	1.36037E-05	6.23999E-07	1.26765E-06	5.13723E-07	1.07883E-05	1.12044E-06	7.49662E-07	4.18369E-06	1.11545E-05	1.85786E-06	5.56273E-08	2.83996E-07	3.35832E-07	1.21792E-06	1.35557E-05	2.1184E-05	1.94278E-06	3.72309E-07	4.23453E-06	9.97715E-07	4.404E-05	2.2712E-07	1.30597E-08	0	7.43475E-08	0	3.34978E-08	8.84884E-06	0	0	0	7.12057E-06	0	0	2.00466E-07	1.81539E-08	1.30796E-08	1.10404E-05	3.97192E-07	1.71541E-08	2.597E-08	2.09569E-06	1.75545E-08	8.8349E-07
Human Diseases;Infectious Diseases;Leishmaniasis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20892E-08	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Infectious Diseases;Measles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human Diseases;Infectious Diseases;Pathogenic Escherichia coli infection	0	0	0	0	0	7.33889E-08	0	0	0	0	0	0	0	0	5.997E-07	1.08743E-07	0	0	0	1.43196E-07	0	0	0	0	0	0	0	0	8.37446E-08	0	0	1.64985E-07	0	0	0	0	0	1.27078E-06	0	0	0	0	6.49249E-08	1.42564E-07	8.77724E-08	0
Human Diseases;Infectious Diseases;Pertussis	0.000124406	0.000129428	0.000126185	0.000114882	3.061E-05	0.000138734	0.000170113	0.000142468	0.000132765	0.000153279	3.98601E-05	0.000185274	0.000232355	0.000449023	0.000570266	0.000221379	0.000259361	0.0001544	0.000402915	0.000327088	0.000317409	0.000201414	0.000250251	0.000140755	0.000142952	9.71007E-07	0.000144308	0.000123325	0.000239828	0.000212632	0.000178583	0.000213425	0.000253153	7.586E-05	0.00028218	4.00962E-05	0.000262025	0.000662074	0.000139481	0.000212073	5.01983E-06	0.00025563	0.000208188	0.000365791	0.000236441	8.44169E-05
Human Diseases;Infectious Diseases;Shigellosis	0	0	0	0	0	2.93556E-08	0	0	0	0	0	0	0	0	2.3988E-07	4.34972E-08	0	0	0	5.72783E-08	0	0	0	0	0	0	0	0	3.34978E-08	0	3.6427E-08	6.5994E-08	0	0	0	0	0	5.0831E-07	0	0	0	0	2.597E-08	5.70256E-08	3.51089E-08	0
Human Diseases;Infectious Diseases;Staphylococcus aureus infection	0.00040614	0.000115959	0.000328719	4.72762E-05	5.86846E-05	4.13914E-05	2.72404E-05	8.05425E-05	0.000216652	9.45432E-05	5.71591E-05	6.64987E-05	1.5381E-05	2.45269E-06	1.38171E-05	6.02437E-05	2.19637E-05	6.60208E-05	2.28065E-05	3.02143E-05	4.50598E-05	1.8915E-05	0.000340507	9.53426E-05	4.83863E-05	4.78852E-05	2.83413E-05	1.80184E-05	4.39492E-05	2.72814E-05	5.39666E-05	0.000201381	1.19661E-05	1.82427E-05	3.99529E-05	8.55795E-06	4.79577E-05	1.39241E-05	4.28749E-05	2.65576E-05	1.77553E-05	2.97108E-05	2.39443E-05	1.946E-05	1.60623E-05	1.55793E-05
Human Diseases;Infectious Diseases;Toxoplasmosis	1.74695E-05	1.59734E-06	1.34714E-05	6.23999E-07	1.26765E-06	5.13723E-07	1.07883E-05	1.12044E-06	7.49662E-07	4.18369E-06	1.06504E-05	1.85786E-06	5.56273E-08	2.83996E-07	3.35832E-07	1.21792E-06	1.32126E-05	2.11442E-05	1.94278E-06	3.15031E-07	4.23453E-06	9.97715E-07	4.404E-05	1.79305E-07	1.30597E-08	0	7.43475E-08	0	3.34978E-08	8.84884E-06	0	0	0	6.9755E-06	0	0	1.54205E-07	1.81539E-08	1.30796E-08	1.08384E-05	3.97192E-07	1.71541E-08	2.597E-08	2.09569E-06	1.75545E-08	7.96386E-07
Human Diseases;Infectious Diseases;Tuberculosis	0.001575151	0.001475169	0.001432483	0.001502164	0.001611777	0.001399571	0.001508829	0.001553319	0.001399768	0.001519253	0.001486263	0.001461754	0.001625736	0.001741902	0.001379069	0.00146129	0.001563801	0.0017783	0.001616561	0.001650933	0.001451359	0.001361589	0.001619531	0.001443432	0.001510777	0.001511574	0.00159917	0.001718798	0.001433104	0.001517025	0.001568019	0.001506594	0.001424196	0.001597123	0.001489797	0.001532123	0.001644226	0.001398907	0.001452202	0.001582077	0.001544671	0.001539079	0.001607048	0.001478674	0.001431163	0.001707675
